date,software_component,sci_score,energy_kwh,carbon_intensity,embodied_carbon,functional_unit,deployment_env,region,notes
2026-07-18,api-server,21.8976,0.69582,56.0,12631.17,1000,cloud,FR,Iteration 22
2026-07-19,api-server,20.5989,0.20314,295.0,14464.13,1000,cloud,EU_avg,Iteration 23
2026-07-20,web-frontend,24.4234,0.25543,295.0,14304.72,1000,cloud,EU_avg,Iteration 24
2026-07-21,api-server,18.5708,0.36177,295.0,8749.13,1000,cloud,EU_avg,Iteration 25
2026-07-22,ml-pipeline,18.6504,0.11973,233.0,11499.61,1000,cloud,UK,Iteration 26
2026-07-23,ml-pipeline,16.76,0.30082,295.0,13311.1,1000,cloud,EU_avg,Iteration 27
2026-07-24,web-frontend,15.8976,0.63119,295.0,11153.48,1000,cloud,EU_avg,Iteration 28
2026-07-25,ml-pipeline,18.2439,0.25096,233.0,14402.26,1000,cloud,UK,Iteration 29
2026-07-26,api-server,19.1498,0.52622,295.0,12761.73,1000,cloud,EU_avg,Iteration 30
2026-07-27,api-server,19.5092,0.26691,295.0,6108.58,1000,cloud,EU_avg,Iteration 31
2026-07-28,ml-pipeline,18.8801,0.7336,233.0,10153.76,1000,cloud,UK,Iteration 32
2026-07-29,api-server,16.1745,0.40047,56.0,10706.64,1000,cloud,FR,Iteration 33
2026-07-30,ml-pipeline,15.6342,0.23112,233.0,14746.54,1000,cloud,UK,Iteration 34
2026-07-31,web-frontend,16.6061,0.45513,233.0,13733.31,1000,cloud,UK,Iteration 35
2026-08-01,web-frontend,17.0062,0.13047,295.0,7536.5,1000,cloud,EU_avg,Iteration 36
2026-08-02,ml-pipeline,20.194,0.34136,233.0,12351.87,1000,cloud,UK,Iteration 37
2026-08-03,web-frontend,17.9692,0.33276,233.0,10460.14,1000,cloud,UK,Iteration 38
2026-08-04,ml-pipeline,16.7294,0.6454,295.0,9785.31,1000,cloud,EU_avg,Iteration 39
2026-08-05,api-server,13.5247,0.22759,233.0,12160.45,1000,cloud,UK,Iteration 40
2026-08-06,api-server,13.4364,0.24111,233.0,8155.96,1000,cloud,UK,Iteration 41
2026-08-07,ml-pipeline,13.0435,0.31705,295.0,9734.0,1000,cloud,EU_avg,Iteration 42
2026-08-08,ml-pipeline,16.6073,0.30028,233.0,8319.25,1000,cloud,UK,Iteration 43
2026-08-09,web-frontend,16.3073,0.18713,56.0,13894.87,1000,cloud,FR,Iteration 44
2026-08-10,web-frontend,15.8161,0.37065,233.0,11920.68,1000,cloud,UK,Iteration 45
2026-08-11,api-server,11.4384,0.35714,56.0,12270.81,1000,cloud,FR,Iteration 46
2026-08-12,web-frontend,14.4242,0.67564,56.0,6025.98,1000,cloud,FR,Iteration 47
2026-08-13,web-frontend,12.2696,0.32954,56.0,9459.16,1000,cloud,FR,Iteration 48
2026-08-14,api-server,11.2536,0.41074,295.0,12268.14,1000,cloud,EU_avg,Iteration 49
2026-08-15,web-frontend,11.8629,0.73813,295.0,11394.69,1000,cloud,EU_avg,Iteration 50
2026-08-16,web-frontend,14.1965,0.56983,295.0,10130.86,1000,cloud,EU_avg,Iteration 51
2026-08-17,api-server,13.7017,0.62493,233.0,6427.79,1000,cloud,UK,Iteration 52
2026-08-18,api-server,10.8274,0.12436,233.0,12785.15,1000,cloud,UK,Iteration 53
2026-08-19,ml-pipeline,9.246,0.35643,295.0,5323.85,1000,cloud,EU_avg,Iteration 54
2026-08-20,api-server,10.4852,0.35968,295.0,10739.22,1000,cloud,EU_avg,Iteration 55
2026-08-21,web-frontend,11.0336,0.47062,295.0,11495.61,1000,cloud,EU_avg,Iteration 56
2026-08-22,ml-pipeline,11.0018,0.61497,295.0,8869.87,1000,cloud,EU_avg,Iteration 57
2026-08-23,web-frontend,13.0498,0.49317,56.0,12040.38,1000,cloud,FR,Iteration 58
2026-08-24,api-server,12.9055,0.58579,295.0,6226.37,1000,cloud,EU_avg,Iteration 59
2026-08-25,api-server,13.1306,0.69698,295.0,13986.79,1000,cloud,EU_avg,Iteration 60
